日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-03,52.16,53.81,54.34,51.29,837744,9028966784.00,6.00,5.84,2.97,6.97
2020-01-10,54.79,55.90,57.12,52.45,938242,10433540240.00,8.68,3.88,2.09,7.80
2020-01-17,57.40,56.89,60.04,55.29,887212,10320808688.00,8.50,1.77,0.99,7.38
2020-01-23,56.84,65.49,69.06,55.68,1101371,13976845392.00,23.52,15.12,8.60,9.16
2020-02-07,63.26,81.95,87.34,63.23,2450490,37714062336.00,36.81,25.13,16.46,20.38
2020-02-14,82.40,76.23,86.61,75.65,1794445,28441380864.00,13.37,-6.98,-5.72,14.92
2020-02-21,75.73,81.79,84.68,75.66,1901436,29940128512.00,11.83,7.29,5.56,15.81
2020-02-28,80.18,68.33,84.90,68.24,2059987,31213815808.00,20.37,-16.46,-13.46,17.13
2020-03-06,70.06,72.69,76.11,67.93,1205449,17303528464.00,11.97,6.38,4.36,10.02
2020-03-13,70.17,66.34,75.50,62.96,1534640,20919113120.00,17.25,-8.74,-6.35,12.76
2020-03-20,64.06,57.32,64.55,54.76,1752777,20741211792.00,14.76,-13.60,-9.02,14.58
2020-03-27,54.51,58.90,61.47,51.29,1354078,15595222144.00,17.76,2.76,1.58,11.26
2020-04-03,57.40,60.18,62.71,54.45,1147251,13774613392.00,14.02,2.17,1.28,9.54
2020-04-10,61.62,58.76,63.00,58.47,609422,7456853936.00,7.53,-2.36,-1.42,5.07
2020-04-17,56.79,69.04,71.05,55.78,1348068,17322147328.00,25.99,17.49,10.28,11.21
2020-04-24,68.73,66.11,68.93,63.51,823084,10830057472.00,7.85,-4.24,-2.93,6.84
2020-04-30,66.85,73.16,75.46,66.08,723500,10119343328.00,14.19,10.66,7.05,6.02
2020-05-08,70.18,73.00,74.73,70.04,493590,7096665520.00,6.41,-0.22,-0.16,4.10
2020-05-15,73.06,73.78,75.00,67.99,1003639,14012677312.00,9.60,1.07,0.78,8.35
2020-05-22,73.51,72.29,79.29,70.56,897883,13270049776.00,11.83,-2.02,-1.49,7.47
2020-05-29,72.22,73.80,79.06,71.04,775372,11456344400.00,11.09,2.09,1.51,6.45
2020-06-05,74.88,77.08,79.00,74.26,638632,9591311648.00,6.42,4.44,3.28,5.31
2020-06-12,78.49,81.58,87.56,76.66,1075136,17123526640.00,14.14,5.84,4.50,8.94
2020-06-19,79.87,85.24,86.85,79.47,762797,12271195600.00,9.05,4.49,3.66,6.34
2020-06-24,85.16,88.35,89.51,83.92,496491,8368679760.00,6.56,3.65,3.11,4.13
2020-07-03,87.80,86.19,94.13,84.47,1075874,18410991536.00,10.93,-2.44,-2.16,8.78
2020-07-10,86.52,106.35,108.16,86.18,1296976,24944413440.00,25.50,23.39,20.16,10.58
2020-07-17,110.63,101.80,117.68,97.56,1487251,31025365504.00,18.92,-4.28,-4.55,12.13
2020-07-24,106.46,103.45,112.80,101.88,1268105,26106719744.00,10.73,1.62,1.65,10.35
2020-07-31,103.08,110.95,112.69,98.63,993612,20026643440.00,13.59,7.25,7.50,8.11
2020-08-07,111.90,106.57,116.95,105.36,804152,17006835680.00,10.45,-3.95,-4.38,6.56
2020-08-14,106.52,104.39,107.13,97.63,756159,14907952736.00,8.91,-2.05,-2.18,6.17
2020-08-21,104.19,99.87,106.96,95.85,882199,17152443712.00,10.64,-4.33,-4.52,7.20
2020-08-28,100.96,108.80,109.46,99.88,1009684,20390108453.00,9.59,8.94,8.93,8.24
2020-09-04,109.55,106.55,112.52,104.51,750780,15654116224.00,7.36,-2.07,-2.25,6.13
2020-09-11,105.80,97.13,106.88,91.96,1124023,21015506107.00,14.00,-8.84,-9.42,9.17
2020-09-18,98.91,103.09,105.27,98.63,665183,12987192657.00,6.84,6.14,5.96,5.43
2020-09-25,105.24,99.46,108.63,98.69,616021,12170898860.00,9.64,-3.52,-3.63,4.99
2020-09-30,100.55,109.30,110.30,99.64,444729,9009719885.00,10.72,9.89,9.84,3.60
2020-10-09,115.29,118.00,120.23,115.17,239672,5378128944.00,4.63,7.96,8.70,1.94
2020-10-16,119.74,119.80,128.69,117.69,737224,17280151293.00,9.32,1.53,1.80,5.97
2020-10-23,121.59,118.08,127.30,117.77,634160,14753223984.00,7.95,-1.44,-1.72,5.14
2020-10-30,118.61,130.39,135.63,114.93,827141,19798825872.00,17.53,10.43,12.31,6.70
